id,genres,cast,writers,production_companies,director,producers,original_language,runtime,rating,main_genre,lang,cast_count,writers_count,director_known
29,Drama,"Léa Seydoux, Antonio Troilo, Jean-François Stévenin, Yann Trégouët, Gabin Lefebvre, Magne-Håvard Brekke, Gillian Anderson, Luca May, Kacey Mottet Klein, Martin Compston","Antoine Jaccoud, Gilles Taurand, Ursula Meier","Vega Film, Archipel 33>35, Bande à Part Films, RTS",Ursula Meier,"André Bouvard, Ruth Waldburger",fr,100,6.752,Drama,fr,10,3,1
30,"Action, Horror","Shane Richie, Tamer Hassan, Doug Bradley, Marcia Do Vales, Simon Phillips, Stuart Brennan, Dave Sommer, Billy Rumbol, Edmund Kingsley, Mads Koudal, Giovanni Lombardo Radice, Dominic Burns, Emily Booth, Rutger Hauer, Helen Griffin",Neil Jones,Unknown,Neil Jones,"Brian Medhurst, Lyndon Baldock, Neil Jones, Terence Davis, Stuart Brennan",en,98,4.1,Action,en,15,1,1
31,"Comedy, Romance","Sanford Gibbons, Mike Standly, Don Johnson, Cheech Marin, Kevin Costner, Dennis Burkley, Melissa Young, Rob Harris, Frank Chirkinian, Mike Ritz, Ken Venturi, Nick Kiriazis, Jerry Pate, Billy Mayfair, Brad Britton, Gary McCord, Del Roy, Corey Pavin, Peter Kostis, Mark Thomason, Phil Mickelson, Ben Wright, Fred Couples, David Ogrin, Steven ""Sven"" Lewison, Amy Alcott, Tommy Armour III, Craig Stadler, Michael Milhoan, Blaine McCallister, Lou Myers, Harold G. Herthum, Tom Purtzer, Mickey Jones, Rex Linn, Sharon McCreedy, Kris Ancira, Bill Caplan, John Mahaffey, Jimmy Roberts, Brian Hammons, Bill Costner, Steve Elkington, Gregory Avellone, D.A. Weibring, Lance Barrow, Gregory Buff White, Kevin Wilson, Lee Janzen, John Cook, Jim Nantz, Richard Lineback, Sharon Costner, Joe Costner, Fredrick Lewis, Susan A. Cabral, George Michael, Linda Hart, Tom Todoroff, Arina Gasanova, Jess King, George Perez, Bruce Lietzke, Howard Twitty, Allan Malamud, Andrew Magee, Jim McLean, Rene Russo, Jeff Maggert, Peter Jacobsen","John Norville, Ron Shelton","Regency Enterprises, Warner Bros. Pictures",Ron Shelton,"Gary Foster, Arnon Milchan, David V. Lester",en,135,6.0,Comedy,en,70,2,1
32,"Horror, Drama","Michel Creton, Yasmine Dahm, Claude Dauphin, Françoise Fabian, Jean-Marc Bory, Jean-Pierre Darras, André Weber, Gérard Depardieu","Pierre-Jean Maintigneux, Juan Luis Buñuel","PEA, Les Productions Artistes Associés, Télécip",Juan Luis Buñuel,Robert Velin,fr,90,5.7,Horror,fr,8,2,1
33,Comedy,Anubhav Singh Bassi,Anubhav Singh Bassi,Unknown,Abhishek Upmanyu,"Ankur Bhargava, Shivanand M. Lalwani, Rohit Gaur, Veena M. Lalwani, Karan Asnani",hi,83,6.7,Comedy,hi,1,1,1
34,Comedy,"Tommy Wirkola, Triana Iglesias, Jeppe Beck Laursen, Ingrid Bolsø Berdal, Frank Arne Olsen, Ørjan Gamst, Kristian Figenschow, Truls Svendsen, Christian Rubeck, Vegar Hoel, Jørn Tore Nilsen, Daniel Berge Halvorsen, Kim S. Falck-Jørgensen, Ivar Lykke, Stig Frode Henriksen, Bjørn Sundquist, Ewa Da Cruz","Tommy Wirkola, Stig Frode Henriksen","Living Films, Tappeluft Pictures",Vegar Hoel,"Tommy Wirkola, Terje Strømstad, Daniel Berge Halvorsen, Ivar Lykke, Stig Frode Henriksen, Kjetil Omberg",no,88,5.1,Comedy,no,17,2,1
35,"Romance, Drama","Samvel Sarkisyan, Narbe Vartan, Allison Gangi, Pedram Ansari, Hovhannes Azoyan",Pouria Heidary Oureh,Unknown,Pouria Heidary Oureh,Unknown,en,78,1.0,Romance,en,5,1,1
36,Drama,"Suhasini Maniratnam, Samikannu, S.Ve. Sekar, Nithya, Sumalatha, Omakuchi Narasimhan, Prathap Pothan, Goundamani, T. K. S. Natarajan, Visu, Kamala Kamesh",Visu,Visagam Pictures,S. P. Muthuraman,Unknown,ta,144,6.0,Drama,ta,11,1,1
37,"Crime, Comedy","Petar Božović, Ivan Bekjarev, Bogdan Kuzmanović, Goran Pleša, Gordana Bjelica, Miomir Radević 'Pigi', Milenko Pavlov, Velimir Živojinović, Slavoljub Plavšić 'Zvonce', Minja Vojvodić, Milutin Savić 'Džimi', Selimir Tošić, Nikola Simić, Lidija Vukićević","Dragan Čalić, Zoran Čalić","Viktorija Film, RTS",Zoran Čalić,Unknown,sr,79,4.3,Crime,sr,14,2,1
38,Drama,"Matthew J. McCarthy, Jacinta Puga, Christopher Abbott, Brady Corbet, Christopher McCann, Kelly AuCoin, Gaby Hoffmann, Dan Bittner, Emily Fleischer",Carlos Puga,"Standard Arts, Act Zero Films",Carlos Puga,"Jean-Raphael Ambron, Brett Potter, Grant Curatola, E. McCabe Walsh, Andrew Corkin, Susan Shopmaker, Alexander Schepsman, Carlos Puga",en,82,4.6,Drama,en,9,1,1
39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,en,76,5.5,Unknown,en,0,0,0
40,"Comedy, Drama","Antoinette Maynard, Harvey Shain, Walter Camp, Jeanette Mills, Dee Howard, Bonnie Clark, William Vickers, Sharon Matt, Victoria Bond, Vincene Wallace",Herschell Gordon Lewis,United Pictures Organization,Herschell Gordon Lewis,Thomas J. Dowd,en,75,3.5,Comedy,en,10,1,1
41,History,Scott Lambert,Unknown,Roadshow Films,Unknown,Unknown,en,90,7.0,History,en,1,0,0
42,Drama,"Mati Diop, Julián Larquier Tellarini, Oscar Williams, Dustin Guy Defa, Gabriela Saidón, Kyle Molzan, Ji Park, María Villar, Pablo Sigal, Keith Poulson, Agustina Muñoz, Ryan Miyake, Laura Paredes, Dan Sallitt, Bingham Bryant, Romina Paula, Micah Gottlieb, Ethan Spigland",Matías Piñeiro,"Cinema Conservancy, Trapecio Cine, Ravenser Odd",Matías Piñeiro,"Andrew Adair, Jake Perlin, Melanie Schapiro, Graham Swon",es,87,5.2,Drama,es,18,1,1
43,Drama,"Jatra, Mohamed Said Salem, Memona Mohamed, Aziza Brahim, Nadhira Mohamed",Pedro Pérez Rosado,"Pérez Rosado Producciones, Wanda Visión",Pedro Pérez Rosado,Pedro Pérez Rosado,es,97,5.3,Drama,es,5,1,1
44,Comedy,"Paco Rueda, Rodrigo Corea, Isabella de la Torre, Miguel Rodarte, Andrés Almeida, Marcela Guirado, Gabriel Nuncio, Luis de la Rosa, Dominika Paleta, Juan Pablo Medina, Natasha Dupeyrón, Adal Ramones, Ernesto Laguardia",Yibrán Asuad,Unknown,Humberto Hinojosa,Unknown,es,90,6.4,Comedy,es,13,1,1
45,Drama,"Delya de Medina, Jean-Paul Rouve, Isabelle Kabano, Veronika Varga, Tao Monladja, Djibril Vancoppenolle","Eric Barbier, Gaël Faye","Jerico Films, Super 8 Production, StudioCanal, France 2 Cinéma, Pathé Productions",Eric Barbier,"Eric Jehelmann, Jérôme Salle, Philippe Rousselet",fr,112,7.2,Drama,fr,6,2,1
46,"Romance, Comedy, Drama","Deryl Carroll, Ed DeFusco, Bo Foxworth, Jean Marie McKee, Brenda Swanson, Judy Toll, Denise Crosby, John S. Curran, Diane Dickson, Harlan Arnold, Ben Hartigan, Michael Kidd, Steven Majewicz, Mark Goldstein, Robert Arthur, William Hubbard Knight, Don Maxwell, John Ritter, Larry Coven, Joel Brooks, Julianne Phillips, Scott Kraft, Richard Domeier, Vincent Gardenia, Karen Haber, Arsenio ""Sonny"" Trinidad, Sheryl Lee Ralph, Sati Jamal, Herb Tanney, Nina Foch, DeeDee Rescher, Chelsea Field, Bryan Genesse, Robert Dowdell, Raye Hollitt, Heidi Paine, Alyson Reed, Peter Donat, John McCann, Charles David Richards, Brenda Strong, Toni Attell, Robert Burleigh, Don Gordon, Diana Barton, Bobb Hopkins",Blake Edwards,"Morgan Creek Entertainment, Beco Films, 20th Century Fox",Blake Edwards,"Tony Adams, James G. Robinson, Joe Roth",en,97,6.146,Romance,en,46,1,1
47,"Thriller, Crime","Sohan Seenulal, Teena Sunil, Ambika Mohan, Shalini Dinesh, Sarath Kumar, Gayathri Nambiar",Navaz Ali,Periyar Power Launtry,Navaz Ali,Shereef Moozhiyedathu,ml,118,7.0,Thriller,ml,6,1,1
48,"Comedy, Crime, Action","Charlie Davao, Tony Lorea, Logan Clarke, Nancy Kwan, Roderick Paulate, Louie Florentino, Ross Hagen","Gus Trikonis, Michael Laton, Ross Hagen",Hagen-Wayne Film Organization,Gus Trikonis,"Gail Wayne, Ross Hagen",en,90,3.0,Comedy,en,7,3,1
49,"Drama, Romance","Stacy Swinford, Ashok Lath, Shung Moo Joe, Denzel Washington, Sam Sherrill, J. D. Barrett, Mohan Agashe, Alix Henry Sanders, Argentina Moore, Mira Nair, Hollis Pippin, Tony McGhee, Varsha Thaker, Rev. Fred Matthews, Alix W. Sanders, Amrit Panesar, Yvette Hawkins, Jimmy Din, Larry Haggard, Ben Burford, Phavin Parbario, Sammy E. D. Senkumba, Dewey Buffington, Patsy Garrett, Jerone Wiggins, Sharon Williams, Tico Wells, E. W. Colvin, Sahira Nair, Joseph Olita, Emanuel Mudara, Wilberforce Muteta, Michael Wawuyo, Mohan Gokhale, Rick Senn, Willy Cobs, Joyce Murrah, Roshan Seth, Kevin McNeil, Buddy St Amant, Mahlon Bouldin, Mayambala Ssekasi, Ranjit Chowdhry, Bonnie M. Lubega, Sharmila Tagore, Rajika Puri, Natalie Oliver, Charles S. Dutton, Aanjjan Srivastav, Cyreio Hughes, Immaculate Byakatonda, Konga Mbandu, Karen Pinkston, James Dale, Richard Crick, Sarita Choudhury, Joe Seneca, Jim Haffey, Dillon Rozell Gross, Tre'Demont Spearman, Dipti Suthar, Nora Boland, Sadie Carr",Sooni Taraporevala,"Cinecom Pictures, Mirabai Films, Film4 Productions, Samuel Goldwyn Company",Mira Nair,"Michael Nozik, Mira Nair, Cherie L. Rodgers",en,118,6.292,Drama,en,63,1,1
50,Documentary,Terry Masear,Unknown,Unknown,Sally Aitken,Unknown,en,93,8.0,Documentary,en,1,0,1
51,"Documentary, Drama, History","Maria Heller, Dante Venesio",Unknown,"Grey Wolf Productions, Magnumhold",Gerard Williams,Unknown,en,94,5.0,Documentary,en,2,0,1
52,"Adventure, Action, Crime","Ben Moselle, Movita, Pamela Blake, William Bailey, Myron Healey, John Laurenz, Noel Cravat, William Henry, Dennis Moore, William F. Leicester, Lori Talbott, Robert Shayne, George Eldredge, Bill Edwards, Lyle Talbot, Paul Hoffman, Joe Turkel","Sam Neuman, Nat Tanchuck",Jack Schwarz Productions,Robert Emmett Tansey,Jack Schwarz,en,67,5.0,Adventure,en,17,2,1
53,Comedy,"Dina Stathatou, Thanasis Tzeneralis, Smaro Stefanidou, Anna Roussou, Ilia Livykou, Stephanos Stratigos, Mihalis Papadakis, Vasilis Logothetidis, Vagelis Protopapas","Alekos Sakellarios, Christos Giannakopoulos",Millas Film,Alekos Sakellarios,Unknown,el,98,6.6,Comedy,el,9,2,1
54,"Drama, Family, Comedy","Rabeh Oskouie, Jamshid Mashayekhi, Alireza Khamseh, Ramin Nasernasir, Tannaz Tabatabaei, Baran Kosari, Fatemeh Motamed-Arya, Mohammad Reza Foroutan, Dariush Arjmand",HosseinAli Fallah Layalestani,Unknown,HosseinAli Fallah Layalestani,Unknown,fa,92,6.0,Drama,fa,9,1,1
55,"Action, Crime, Drama, Thriller","Richard Gant, Brian Thompson, Peter Greene, Michael Dorn, Roger Guenveur Smith, Robin Paul, Marina Sirtis, Sparrow Heatley, John Dye, Isaac C. Singleton Jr., Rosa Blasi, Lara Phillips, Ed Marinaro, Ho-Sung Pak, Sherilyn Fenn, A Martinez, Gina St. John, Antonio Fargas","Wayne Kennedy, Ho-Sung Pak",Catchlight Films,Wayne Kennedy,"Wayne Kennedy, Matthew E. Chausse, Ho-Sung Pak",en,88,4.785,Action,en,18,2,1
56,"Thriller, TV Movie","Wendell Kinney, Adam Hollick, Alex Trumble, Thomas Gipson, Tristina Lee Bryant, Jamie Roy, Joe Corzo, Kylee Levien, Mark Hapka, Annika Foster, Ashlynn Yennie","John Murlowski, J. Emilio Martinez","Maple Island Films, Reel One Entertainment",John Murlowski,"Dave Hickey, Sebastian Battro, Breanne Hartley, J. Emilio Martinez, Tom Berry, John Murlowski, Jennifer Phillips",en,88,5.6,Thriller,en,11,2,1
57,Drama,"Sissi Martina Palladini Farruggia, Susanna Gozzetti, Lorenzo Giordano, Olexa Gorodenko, Iryna Beniuk, Bohdan Beniuk, Mauro Cipriani, Simone Costa","Zaza Buadze, Grigoris Karantinakis",InsightMedia Producing Center,Zaza Buadze,"Alla Ovsyannikova, Oleksandr Kovalenko",uk,116,8.0,Drama,uk,8,2,1
58,"Romance, Comedy","Woo Hyeon, Lee Soon-jae, Oh Tae-kyung, Lee Beom-soo, Kim Min-jung, Kim Roi-ha, Hong Gyo-jin, Oh Dal-su, Ahn Nae-sang, Han Suk-kyu, Kim Byeong-ok",Kim Dae-woo,"CJ Entertainment, Bidangil Pictures, IM Pictures",Kim Dae-woo,"Jeongha Im, Daeyong Sin, Kim Su-jin, Yun In-beom",ko,142,5.528,Romance,ko,11,1,1
59,"TV Movie, Drama, Family","Jindřich Narenta, Jiří Císler, Rudolf Hrušínský, Slávka Španková, Vladimír Menšík, Michal Vejrostek, Bronislav Poloczek, Václav Mareš, Zdeněk Martínek, Luděk Munzar, Tomáš Murdych, Josef Vorel, Zdeněk Zindel, Radoslav Brzobohatý, Eliška Balzerová, Karel Augusta, Martin Mikuláš","Pavel Kopta, Dušan Hamšík, Ota Pavel, Karel Kachyňa","Československá televize Praha, Filmové studio Barrandov",Karel Kachyňa,Unknown,cs,83,7.3,TV Movie,cs,17,4,1
60,"Drama, Comedy","Sriman, Manorama, Nellai Siva, Vadivelu, Muthukalai, Tejashree, Monica, Manobala, Ilavarasu, Scisor Manogar, Nagesh, Nassar, Thiyagu","Chimbu Deven, Pulamaipithan",Unknown,Chimbu Deven,Shankar,ta,142,7.778,Drama,ta,13,2,1
61,"Romance, Drama, Family","Bridget John, Ladarian Raymond, Amaris L. Samuel",Dianne Diaz,Alliance Productions,Austeen Eboka,Everett Chuck Williams,en,96,1.0,Romance,en,3,1,1
62,"Drama, Mystery","Ray McKinnon, Sasha Alexander, Omid Abtahi, Bill Smitrovich, Tom Sizemore, Sprague Grayden","Peter Biegen, Max Allan Collins","Timbergrove Entertainment, Chaillot Films",Jeffrey Goodman,David Koplan,en,93,6.4,Drama,en,6,2,1
63,"Drama, TV Movie","Ryan Kwanten, Fletcher Humphrys, Tom Berenger, Bernard Curry, Nick Tate, Ewen Leslie, Ryan Johnson","Mike Robe, Jim Dent",ESPN Original Entertainment,Mike Robe,"James Dalthorp, Michael O. Gallant, Mark Shapiro, Orly Adelson, John H. Williams",en,93,6.2,Drama,en,7,2,1
64,Drama,"Joanna Alexandra, Firrina Sinatrya, Henidar Amroe, Christian Sugiono, Ramon Y. Tungka, A.T. Mahmud, Fairus Faisal, Vino G. Bastian, Laura Heimbach, Nadia Rachel, Marcel Chandrawinata, Joshua Pandelaki, Eva Anindita",Salman Aristo,PT Rexinema Multimedia Pratama,Hanung Bramantyo,Erwin Arnada,id,110,5.4,Drama,id,13,1,1
65,Fantasy,"Indrans, Punnaseri Kanchana, Samyuktha Karthik, Kadambari Shivaya, Kani Kusruti, P Sreekumar, Esther Anil, Shane Nigam, Radhika",T D Ramakrishnan,AVA Productions,Shaji N. Karun,A.V. Anoop,ml,109,5.7,Fantasy,ml,9,1,1
66,"TV Movie, Comedy, Drama, Romance","Damon Gregory, Marlie Collins, Adam Hollick, Jai Braithwaite, Tyson Arner, Rhys Cauley, Shyinne Anastacio, Dayleigh Nelson, Lyndsey Wong, Brandon Giddens, Stephen Jefferys",Courtney Taylor Burness,"CMW Mountain Productions, Champlain Media, Reel One Entertainment",Jim Cliffe,"Sebastian Battro, Cjay Boisclair, Suzanne Chapman, Bruce Harvey, Steven Woolworth, Breanne Hartley, Louisa Cadywould, Tom Berry",en,90,8.5,TV Movie,en,11,1,1
